ids,CLSZ_0.8,CLID_0.8
ZINC000096014556,144,1
ZINC000096095473,144,1
ZINC000096014521,144,1
ZINC000230026395,144,1
ZINC000230034399,144,1
ZINC000230026341,144,1
ZINC000230026446,144,1
ZINC000230034935,144,1
ZINC000008551095,144,1
ZINC000008551494,144,1
ZINC000008551116,144,1
ZINC000008551493,144,1
ZINC000008551568,144,1
ZINC000008551112,144,1
ZINC000008551218,144,1
ZINC000008551257,144,1
ZINC000195796858,144,1
ZINC000195810618,144,1
ZINC000195842012,144,1
ZINC000195842013,144,1
ZINC000199628840,144,1
ZINC000199629165,144,1
ZINC000199630723,144,1
ZINC000195755499,144,1
ZINC000195755542,144,1
ZINC000195883301,144,1
ZINC000196086499,144,1
ZINC000196105913,144,1
ZINC000197381912,144,1
ZINC000199604898,144,1
ZINC000199605350,144,1
ZINC000199628079,144,1
ZINC000199628899,144,1
ZINC000199629077,144,1
ZINC000199629848,144,1
ZINC000199630776,144,1
ZINC000195448510,144,1
ZINC000195755504,144,1
ZINC000195755548,144,1
ZINC000195883296,144,1
ZINC000196086506,144,1
ZINC000196513291,144,1
ZINC000197688097,144,1
ZINC000199629186,144,1
ZINC000199630277,144,1
ZINC000195448505,144,1
ZINC000195755502,144,1
ZINC000199604915,144,1
ZINC000199625031,144,1
ZINC000199628092,144,1
ZINC000199628859,144,1
ZINC000199628918,144,1
ZINC000199629092,144,1
ZINC000199629870,144,1
ZINC000199630742,144,1
ZINC000195445281,144,1
ZINC000195755496,144,1
ZINC000195755509,144,1
ZINC000008551087,144,1
ZINC000008551759,144,1
ZINC000008551747,144,1
ZINC000008551904,144,1
ZINC000008551269,144,1
ZINC000008551192,144,1
ZINC000195445287,144,1
ZINC000096014541,144,1
ZINC000096061868,144,1
ZINC000008551971,144,1
ZINC000008551196,144,1
ZINC000195756684,144,1
ZINC000195756679,144,1
ZINC000195756677,144,1
ZINC000195756681,144,1
ZINC000008551209,144,1
ZINC000008216706,144,1
ZINC000008551764,144,1
ZINC000008219729,144,1
ZINC000008216701,144,1
ZINC000008551748,144,1
ZINC000008216708,144,1
ZINC000008216374,144,1
ZINC000008219724,144,1
ZINC000230051742,144,1
ZINC000096014532,144,1
ZINC000096014536,144,1
ZINC000096014540,144,1
ZINC000096014546,144,1
ZINC000096014554,144,1
ZINC000096014569,144,1
ZINC000096068398,144,1
ZINC000096014518,144,1
ZINC000096014522,144,1
ZINC000096014534,144,1
ZINC000096014538,144,1
ZINC000096014542,144,1
ZINC000096014548,144,1
ZINC000096014559,144,1
ZINC000096014567,144,1
ZINC000096077635,144,1
ZINC000096085221,144,1
ZINC000096095622,144,1
ZINC000096077650,144,1
ZINC000096077667,144,1
ZINC000096085218,144,1
ZINC000096095484,144,1
ZINC000096014519,144,1
ZINC000096014531,144,1
ZINC000096014535,144,1
ZINC000096014539,144,1
ZINC000096014547,144,1
ZINC000096014555,144,1
ZINC000096014568,144,1
ZINC000096068397,144,1
ZINC000096014517,144,1
ZINC000096014533,144,1
ZINC000096014537,144,1
ZINC000096014545,144,1
ZINC000096014558,144,1
ZINC000096014570,144,1
ZINC000197688160,144,1
ZINC000008551219,144,1
ZINC000008551256,144,1
ZINC000008551265,144,1
ZINC000008551445,144,1
ZINC000008551513,144,1
ZINC000008551530,144,1
ZINC000008551567,144,1
ZINC000008551531,144,1
ZINC000008551512,144,1
ZINC000008551586,144,1
ZINC000008551264,144,1
ZINC000008551119,144,1
ZINC000008551184,144,1
ZINC000008551120,144,1
ZINC000008551587,144,1
ZINC000008551763,144,1
ZINC000169685622,144,1
ZINC000169622497,144,1
ZINC000169622455,144,1
ZINC000169622500,144,1
ZINC000008216371,144,1
ZINC000008551760,144,1
ZINC000008216703,144,1
ZINC000008215552,144,1
ZINC000230034377,2,9
ZINC000195882733,2,9
ZINC000199624920,2,25
ZINC000199624902,2,25
ZINC000199628966,2,27
ZINC000199628982,2,27
ZINC000230034347,1,5
ZINC000008551261,1,11
